Statements,Labels
The Cardinals have lost eight of their last nine road games against National League opponents.,Non Record
"The decisive third game of the series will be played on Thursday at American Family Field, with Brewers right-hander Tobias Myers facing Mets lefty Jose Quintana.",Non Record
Lucas Erceg earned 11 saves since joining the Royals in a trade with Milwaukee.,Non Record
Daryl Mitchell bowled an excellent last over to concede just six runs.,Non Record
Kenley Jansen pitched a perfect ninth inning for his 25th save.,Record
"Chamika Karunaratne returns to the playing XI for Sri Lanka, while England are going in with an unchanged team for the must-win match.",Non Record
"Tarik Skubal achieved his 16th win of the season, the most in baseball.",Record
Aiden Markram scored 46 runs,Non Record
Sherfane Rutherford scored 28 off 15 balls.,Non Record
"Mitch Garver singled to left, scoring Garcia in the first inning.",Non Record
Maxwell's score of 120 was the second-highest by a batter coming in at No.4 or below in T20Is.,Record
Pinch-hitter Kiké Hernández singled and took second when Andy Pages reached on catcher’s interference by Kyle Higashioka.,Non Record
"Josh Inglis scored the fastest ever hundred for Australia in men's T20Is, reaching three figures in just 43 balls.",Record
PLAYER OF THE MATCH – HAKIM ZIYECH (MOROCCO): Although he didn’t get on the scoresheet his performance deserved one. Right from the start he was Morocco’s best player and even during the slow early stages looked likely to break the deadlock. It was his free kick which set up the opener by Saiss and throughout the game he created multiple chances for his teammates. The trademark silky feet and deadly set-pieces caused numerous issues for Tanzania who simply couldn’t cope with this creativity.,Non Record
Jasprit Bumrah has been rested for this series,Non Record
Experts predicted India as the favorites given their home advantage,Non Record
"The Brave Warriors of Namibia are gearing up for a pivotal moment in their AFCON 2025 qualifying campaign, as they get set to take on the Warriors of Zimbabwe in back-to-back fixtures on Thursday 10 and Monday 14 October.",Non Record
Brandon Nimmo praised Luisangel Acuna's steadiness and excellence.,Non Record
"The Guardians are the first in AL postseason history to score five runs without an out being recorded, according to Elias Sports Bureau and Stats Perform.",Record
"Jordan Walker became the first player in nearly 100 years to go 5-for-5 with a home run, three RBI, and four runs against the New York Yankees.",Record
Co-hosts West Indies beat Papua New Guinea by five wickets in opening Group C game,Non Record
Uganda's coach Abhay Sharma emphasized the importance of processes and situations in preparation.,Non Record
Jeremy Pena has recorded at least one Single in each of his last eight appearances in night games against AL Central teams that held a winning record.,Record
"Guardians' Brayan Rocchio extended his hitting streak to seven games, the longest streak by a Cleveland player to start a postseason career.",Record
Jackson Chourio became the first player in Major League history to hit 20 homers and record 20 stolen bases before turning 21.,Record
"India (probable): 1 Rohit Sharma (capt), 2 Virat Kohli, 3 Rishabh Pant (wk), 4 Suryakumar Yadav, 5 Shivam Dube, 6 Hardik Pandya, 7 Axar Patel, 8 Ravindra Jadeja, 9 Arshdeep Singh, 10 Kuldeep Yadav, 11 Jasprit Bumrah",Non Record
"The match between England and Australia on October 28, 2022, was abandoned due to rain at Melbourne Cricket Ground.",Non Record
Nestor Cortes Jr. will throw for the first time since going on the injured list on Sept. 25 with a left elbow flexor strain.,Non Record
Rovman Powell hit five sixes in his innings.,Non Record
Paul Goldschmidt has recorded at least one total base in each of his last 10 appearances after playing the previous day.,Record
Wyatt Langford extended the lead with an RBI single.,Non Record
Blake Perkins has recorded at least one Single in each of his last seven appearances in night games.,Record
Axar Patel equalled the 20-ball joint fifth fastest fifty for India in T20 internationals.,Record
Tim Southee finished with figures of 3-6 and Mitch Santner 3-31 from four overs.,Non Record
England captain Jos Buttler mentioned the frustration of having games washed out and suggested elongating the tournament.,Non Record
"Ohtani singled and Hernández scored on an error, while Ohtani was safe at second on Fernando Tatis Jr.'s throwing error.",Non Record
"Jos Buttler expressed happiness and paid tribute to the bowling depth, particularly Livingstone and Rashid.",Non Record
Brayan Rocchio led off the sixth inning with a solo homer for the Guardians.,Non Record
Tilak Varma became the youngest Indian to score a fifty in T20 Internationals.,Record
Pete Alonso is now the first player in MLB history to hit a go-ahead home run while trailing in the ninth inning or later of a winner-take-all playoff game.,Record
Arshdeep Singh became the first Indian bowler to bowl 3 no-balls on the trot in a T20I.,Record
Australia were the first team to score over 200 runs in 17 matches so far this tournament.,Record
Ireland's first T-20 win over Pakistan.,Non Record
Vladimir Guerrero Jr. has recorded at least one total base in each of the Blue Jays' last 22 games against AL East opponents that held a winning record.,Record
Trott mentioned that his team will take the players’ records into account and 'not just recent form'.,Non Record
"Ohtani is one game short of the MLB record for most games with both a homer and a steal, held by Rickey Henderson.",Record
The Chicago White Sox tied the 1916 Philadelphia Athletics for the third most losses since 1900 with their 117th loss of the season.,Record
Marsh’s side became the first nation to concede more than 200 in four consecutive T20 internationals.,Record
The Gujarat Cricket Association allowed 50 percent of spectators during the series due to the pandemic.,Non Record
Tyson Miller struck out Brendan Rodgers and Ezequiel Tovar for his first career save in four big league seasons.,Non Record
Jordan Beck hit a third-inning homer for the Rockies.,Non Record
"The game was played in New York, adding a unique venue to the rivalry.",Non Record
Chris Jordan took 3 wickets for 37 runs,Non Record
"England are sandwiched between New Zealand and Australia on net run rate, though all three are level on points.",Non Record
"The second T20I will be held on 14 January 2024 at Holkar Cricket Stadium, Indore at 7 pm.",Non Record
"Jorge Soler homered to left (411 feet), Arraez scored.",Non Record
"McCormick singled to left, Caratini scored and Meyers scored, Gamel to second.",Non Record
Josh Naylor had a two-RBI single in the sixth inning.,Non Record
Arshdeep Singh has the second most T20I wickets in Lauderhill with seven in four innings.,Record
"Framber Valdez relied heavily on his sinker and curveball, inducing 23 swings and nine whiffs with his curveball",Non Record
Detroit Tigers handed their worst shutout loss since Game 1 of the 1945 World Series.,Record
South Africa finished second in their group behind Mali and ahead of Namibia and Tunisia.,Non Record
Hardik Pandya scored 30 off 17 balls.,Non Record
Ireland scored 178/7 in 20 overs.,Non Record
