Statements                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , Sport
Kenley Jansen pitched a perfect ninth inning for his 25th save.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , baseball
"Tarik Skubal achieved his 16th win of the season, the most in baseball.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ", baseball
Maxwell's score of 120 was the second-highest by a batter coming in at No.4 or below in T20Is.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , cricket
"Josh Inglis scored the fastest ever hundred for Australia in men's T20Is, reaching three figures in just 43 balls.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ", cricket
"The Guardians are the first in AL postseason history to score five runs without an out being recorded, according to Elias Sports Bureau and Stats Perform.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ", baseball
"Jordan Walker became the first player in nearly 100 years to go 5-for-5 with a home run, three RBI, and four runs against the New York Yankees.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ", baseball
Jeremy Pena has recorded at least one Single in each of his last eight appearances in night games against AL Central teams that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , baseball
"Guardians' Brayan Rocchio extended his hitting streak to seven games, the longest streak by a Cleveland player to start a postseason career.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ", baseball
Jackson Chourio became the first player in Major League history to hit 20 homers and record 20 stolen bases before turning 21.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
Paul Goldschmidt has recorded at least one total base in each of his last 10 appearances after playing the previous day.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , baseball
Blake Perkins has recorded at least one Single in each of his last seven appearances in night games.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , baseball
Axar Patel equalled the 20-ball joint fifth fastest fifty for India in T20 internationals.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , cricket
Tilak Varma became the youngest Indian to score a fifty in T20 Internationals.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , cricket
Pete Alonso is now the first player in MLB history to hit a go-ahead home run while trailing in the ninth inning or later of a winner-take-all playoff game.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , baseball
Arshdeep Singh became the first Indian bowler to bowl 3 no-balls on the trot in a T20I.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , cricket
Australia were the first team to score over 200 runs in 17 matches so far this tournament.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , cricket
Vladimir Guerrero Jr. has recorded at least one total base in each of the Blue Jays' last 22 games against AL East opponents that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , baseball
"Ohtani is one game short of the MLB record for most games with both a homer and a steal, held by Rickey Henderson.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ", baseball
The Chicago White Sox tied the 1916 Philadelphia Athletics for the third most losses since 1900 with their 117th loss of the season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , baseball
Marsh’s side became the first nation to concede more than 200 in four consecutive T20 internationals.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , cricket
Arshdeep Singh has the second most T20I wickets in Lauderhill with seven in four innings.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , cricket
Detroit Tigers handed their worst shutout loss since Game 1 of the 1945 World Series.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , baseball
Glenn Maxwell equalled the record for the most T20 international centuries with his fifth hundred.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , cricket
David Warner needs 54 runs to become the all-time leading run scorer for Australia in men’s T20Is.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , cricket
It is the lowest target Bangladesh have failed to chase in a T20.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , cricket
Shohei Ohtani is close to achieving the 60-60 club with 53 home runs and 55 stolen bases.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , baseball
"Los Angeles reached its 90th loss in its 150th game, the quickest in franchise history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ", baseball
Salvador Perez has recorded at least one RBI in each of the Royals' last six road games against NL Central opponents.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , baseball
Paul Stirling scored his first fifty in 21 T20Is                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , cricket
Australia's total of 4-241 was the nation's fourth-highest in a T20I.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , cricket
Atlanta Braves clinched their sixth consecutive NL East title.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
Virat Kohli became the highest run-getter in T20 World Cups.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , cricket
"30 Number of overs, out of 40 bowled by spinners between India and New Zealand in a T20I match - This is the second most overs bowled by spinners in a T20I match after 33-overs bowled by between Cayman Islands and USA at Hamilton in 2019.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ", cricket
Jung Hoo Lee has recorded at least one total base in each of his last nine road appearances against NL opponents.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , baseball
Ronald Acuña Jr. became the first player in MLB history to have at least 40 homers and 70 stolen bases in a single season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , baseball
"This was the second highest innings total in T20Is, behind Nepal’s 314 for three against Mongolia.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ", cricket
Freddie Freeman became the first player to homer in the first four games of a World Series and his streak of long balls in six consecutive games is one more than Houston’s George Springer in 2017 and ‘19.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , baseball
Josh Naylor has recorded at least one RBI in four of the Guardians' last five home playoff games against the Yankees.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , baseball
Jose Ramirez has recorded at least one RBI in each of his last three home appearances against the Astros after playing the previous day.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , baseball
Spencer Steer has hit a home run in each of the Reds' last two games at Wrigley Field against NL Central opponents that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
"Garrett Crochet struck out eight batters, including tying an AL record with seven consecutive strikeouts to start the game.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ", baseball
