gamesPlayed, groundOuts, airOuts, runs, doubles, triples, homeRuns, strikeOuts, baseOnBalls, intentionalWalks, hits, hitByPitch, avg  , atBats, obp  , slg  , ops  , caughtStealing, stolenBases, stolenBasePercentage, groundIntoDoublePlay, numberOfPitches, plateAppearances, totalBases, rbi , leftOnBase, sacBunts, sacFlies, babip, groundOutsToAirouts, catchersInterference, atBatsPerHomeRun, player_id, play_group, season, gamesStarted, era  , inningsPitched, wins, losses, saves, saveOpportunities, holds, blownSaves, earnedRuns, whip , battersFaced, outs , gamesPitched, completeGames, shutouts, strikes, strikePercentage, hitBatsmen, balks, wildPitches, pickoffs, winPercentage, pitchesPerInning, gamesFinished, strikeoutWalkRatio, strikeoutsPer9Inn, walksPer9Inn, hitsPer9Inn, runsScoredPer9, homeRunsPer9, inheritedRunners, inheritedRunnersScored, player_name                 , team_id, position         , team_name            , team_abbreviation, division               , league
         34,         26,      22,   11,       5,       0,        1,         20,           6,                0,   25,          1, 0.275,     91, 0.323, 0.363, 0.686,              0,           0,                     ,                    1,             367,            100.0,         33, 13.0,       28.0,        1,        1, .338 ,                1.18,                    0,            91.00,    624641, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Edmundo Sosa                ,     143, Second Base      , Philadelphia Phillies, PHI              , National League East   , National League
         58,         55,      38,   23,       9,       0,        6,         65,          26,                0,   48,          2, 0.233,    206, 0.323, 0.364, 0.687,              1,           2, .667                ,                    1,             970,            235.0,         75, 20.0,      109.0,        0,        1, .309 ,                1.45,                    0,            34.33,    692225, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Kristian Campbell           ,     111, Second Base      , Boston Red Sox       , BOS              , American League East   , American League
         10,         49,      67,   19,       5,       1,        8,         48,          16,                0,   52,          0, 0.244,    213, 0.294, 0.39 , 0.684,              1,           4, .800                ,                    2,             849,                 ,         83,     ,           ,        1,        2,      ,                0.73,                    0,                 ,    663554, pitching  ,   2025,         10.0,  2.91,           55.2,  6.0,    1.0,   0.0,               0.0,   0.0,        0.0,       18.0,  1.22,        232.0, 167.0,         10.0,           0.0,      0.0,   562.0, .660            ,        0.0,   0.0,         1.0,      0.0, .857         ,            15.25,           0.0,               3.00,              7.76,         2.59,        8.41,           3.07,         1.29,              0.0,                    0.0, Casey Mize                  ,     116, Pitcher          , Detroit Tigers       , DET              , American League Central, American League
         57,         49,      53,   23,       8,       1,        5,         41,          19,                1,   52,          1, 0.269,    193, 0.336, 0.399, 0.735,              3,           8, .727                ,                    0,             852,            215.0,         77, 16.0,       69.0,        1,        1, .318 ,                0.92,                    0,            38.60,    669701, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Josh Smith                  ,     140, Shortstop        , Texas Rangers        , TEX              , American League West   , American League
         13,         65,      89,   32,      11,       1,        6,         43,          24,                0,   54,          1, 0.22 ,    245, 0.288, 0.347, 0.635,              3,           7, .700                ,                    9,            1046,                 ,         85,     ,           ,        2,        4,      ,                0.73,                    0,                 ,    663559, pitching  ,   2025,         13.0,  3.49,           69.2,  4.0,    3.0,   0.0,               0.0,   0.0,        0.0,       27.0,  1.12,        276.0, 209.0,         13.0,           0.0,      0.0,   662.0, .630            ,        1.0,   0.0,         2.0,      2.0, .571         ,            15.01,           0.0,               1.79,              5.56,         3.10,        6.98,           4.13,         0.78,              0.0,                    0.0, Bailey Falter               ,     134, Pitcher          , Pittsburgh Pirates   , PIT              , National League Central, National League
         12,          0,       0,    0,       0,       0,        0,          0,           0,                0,    0,          0, 0.0  ,      0, 0.0  , 0.0  , 0.0  ,              0,           0,                     ,                    0,               0,              0.0,          0,  0.0,        0.0,        0,        0,      ,                    ,                    0,                 ,    675848, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Juan Mejia                  ,     115, Pitcher          , Colorado Rockies     , COL              , National League West   , National League
         12,         17,      14,   13,       2,       1,        4,         18,           6,                0,   18,          0, 0.277,     65, 0.333, 0.523, 0.856,              0,           1, 1.000               ,                    2,             294,                 ,         34,     ,           ,        1,        1,      ,                1.21,                    0,                 ,    675848, pitching  ,   2025,          0.0,  4.32,           16.2,  0.0,    0.0,   0.0,               0.0,   0.0,        0.0,        8.0,  1.44,         73.0,  50.0,         12.0,           0.0,      0.0,   197.0, .670            ,        0.0,   0.0,         0.0,      0.0,              ,            17.64,           8.0,               3.00,              9.72,         3.24,        9.72,           7.02,         2.16,              3.0,                    0.0, Juan Mejia                  ,     115, Pitcher          , Colorado Rockies     , COL              , National League West   , National League
         13,         83,      46,   21,       9,       0,        6,         86,          25,                0,   49,          2, 0.186,    263, 0.262, 0.289, 0.551,              2,           4, .667                ,                    5,            1214,                 ,         76,     ,           ,        1,        0,      ,                1.80,                    0,                 ,    808967, pitching  ,   2025,         13.0,  2.20,           73.2,  6.0,    4.0,   0.0,               0.0,   0.0,        0.0,       18.0,  1.00,        291.0, 221.0,         13.0,           0.0,      0.0,   763.0, .630            ,        2.0,   0.0,         4.0,      0.0, .600         ,            16.48,           0.0,               3.44,             10.51,         3.05,        5.99,           2.57,         0.73,              0.0,                    0.0, Yoshinobu Yamamoto          ,     119, Pitcher          , Los Angeles Dodgers  , LAD              , National League West   , National League
         40,         28,      39,    8,       6,       0,        2,         19,          11,                0,   19,          1, 0.186,    102, 0.27 , 0.304, 0.574,              1,           5, .833                ,                    3,             424,            117.0,         31,  6.0,       50.0,        2,        1, .207 ,                0.72,                    0,            51.00,    669707, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Jared Triolo                ,     134, Shortstop        , Pittsburgh Pirates   , PIT              , National League Central, National League
         31,         28,      29,   11,       3,       0,        3,         30,           7,                1,   24,          1, 0.216,    111, 0.269, 0.324, 0.593,              0,           5, 1.000               ,                    2,             462,                 ,         36,     ,           ,        0,        0,      ,                0.97,                    0,                 ,    669711, pitching  ,   2025,          0.0,  2.76,           29.1,  2.0,    1.0,   0.0,               2.0,  11.0,        2.0,        9.0,  1.06,        119.0,  88.0,         31.0,           0.0,      0.0,   294.0, .640            ,        1.0,   0.0,         0.0,      0.0, .667         ,            15.75,           3.0,               4.29,              9.20,         2.15,        7.36,           3.38,         0.92,             12.0,                    1.0, Greg Weissert               ,     111, Pitcher          , Boston Red Sox       , BOS              , American League East   , American League
