PLAYER_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME,Cumulative_Points,Cumulative_AST,Cumulative_REB
     1920, 1999-00  , 1610612739, CLE              ,       23.0,  8,  0.0,   61.0,    4,   21,  0.19 ,   0.0,   0.0,   0.0  ,   0,   0,  0.0  ,  12.0,   10.0,   22.0,   0,   1.0,   0.0,   3.0,  13,    8, A.J. Bramlett           ,                 8,              0,           22.0
   201166, 2007-08  , 1610612745, HOU              ,       23.0, 51,  0.0,  608.0,   93,  225,  0.413,  36.0, 109.0,   0.33 ,  42,  49,  0.857,  13.0,   43.0,   56.0,  87,  13.0,   5.0,  44.0,  69,  264, Aaron Brooks            ,               264,             87,           56.0
   201166, 2008-09  , 1610612745, HOU              ,       24.0, 80, 35.0, 1998.0,  316,  783,  0.404, 113.0, 309.0,   0.366, 149, 172,  0.866,  33.0,  124.0,  157.0, 238,  46.0,   8.0, 125.0, 152,  894, Aaron Brooks            ,              1158,            325,          213.0
   201166, 2009-10  , 1610612745, HOU              ,       25.0, 82, 82.0, 2919.0,  575, 1331,  0.432, 209.0, 525.0,   0.398, 245, 298,  0.822,  54.0,  161.0,  215.0, 434,  69.0,  14.0, 232.0, 199, 1604, Aaron Brooks            ,              2762,            759,          428.0
   201166, 2010-11  , 1610612745, HOU              ,       26.0, 34,  7.0,  811.0,  134,  387,  0.346,  48.0, 169.0,   0.284,  78,  83,  0.94 ,  11.0,   40.0,   51.0, 129,  21.0,   2.0,  55.0,  69,  394, Aaron Brooks            ,              3156,            888,          479.0
   201166, 2010-11  , 1610612756, PHX              ,       26.0, 25,  5.0,  473.0,   86,  200,  0.43 ,  22.0,  67.0,   0.328,  46,  57,  0.807,   9.0,   18.0,   27.0, 104,  13.0,   1.0,  44.0,  46,  240, Aaron Brooks            ,              3396,            992,          506.0
   201166, 2010-11  ,          0, TOT              ,       26.0, 59, 12.0, 1284.0,  220,  587,  0.375,  70.0, 236.0,   0.297, 124, 140,  0.886,  20.0,   58.0,   78.0, 233,  34.0,   3.0,  99.0, 115,  634, Aaron Brooks            ,              4030,           1225,          584.0
   201166, 2012-13  , 1610612758, SAC              ,       28.0, 46, 20.0,  959.0,  139,  303,  0.459,  48.0, 127.0,   0.378,  40,  52,  0.769,  12.0,   66.0,   78.0, 108,  29.0,   7.0,  63.0,  89,  366, Aaron Brooks            ,              4396,           1333,          662.0
   201166, 2012-13  , 1610612745, HOU              ,       28.0,  7,  0.0,   38.0,    4,   13,  0.308,   2.0,   7.0,   0.286,   0,   0,  0.0  ,   1.0,    1.0,    2.0,   6,   1.0,   3.0,   4.0,   5,   10, Aaron Brooks            ,              4406,           1339,          664.0
   201166, 2012-13  ,          0, TOT              ,       28.0, 53, 20.0,  997.0,  143,  316,  0.453,  50.0, 134.0,   0.373,  40,  52,  0.769,  13.0,   67.0,   80.0, 114,  30.0,  10.0,  67.0,  94,  376, Aaron Brooks            ,              4782,           1453,          744.0
   201166, 2013-14  , 1610612745, HOU              ,       29.0, 43,  0.0,  716.0,  104,  263,  0.395,  54.0, 132.0,   0.409,  37,  44,  0.841,  23.0,   39.0,   62.0,  83,  25.0,   6.0,  51.0,  76,  299, Aaron Brooks            ,              5081,           1536,          806.0
   201166, 2013-14  , 1610612743, DEN              ,       29.0, 29, 12.0,  841.0,  129,  318,  0.406,  42.0, 116.0,   0.362,  46,  51,  0.902,  20.0,   58.0,   78.0, 150,  27.0,   7.0,  66.0,  70,  346, Aaron Brooks            ,              5427,           1686,          884.0
   201166, 2013-14  ,          0, TOT              ,       29.0, 72, 12.0, 1557.0,  233,  581,  0.401,  96.0, 248.0,   0.387,  83,  95,  0.874,  43.0,   97.0,  140.0, 233,  52.0,  13.0, 117.0, 146,  645, Aaron Brooks            ,              6072,           1919,         1024.0
